Year,gini_con,wgini_con,n()
2000,0.476310276318134,0.586401256980206,123
2001,0.475313204357057,0.581939580719396,124
2002,0.474193794023392,0.576670873763732,125
2003,0.469754457601269,0.572280566324423,125
2004,0.465212421772659,0.567474865141829,125
2005,0.463439936622009,0.559037669118023,127
2006,0.45785972070761,0.551182498007762,129
2007,0.457461409606342,0.540125057217018,132
2008,0.451032414036124,0.531163039894537,134
2009,0.45189792987976,0.520178719231616,136
2010,0.450767326156978,0.511734682321887,139
2011,0.44984261473412,0.504412378756193,140
2012,0.445184757506592,0.495955748774122,141
2013,0.443053799256496,0.487154917830118,142
2014,0.44452310344359,0.480807032377356,143
2015,0.442957397494467,0.472376441338085,144
2016,0.442525745060131,0.464149604940694,144
2017,0.441181221268646,0.457682514054873,144
2018,0.439694932566486,0.450642504838129,144
2019,0.436901698780382,0.445175239502134,144
2020,0.429138403125222,0.44287130037042,144
2021,0.43113299361216,0.441803713829486,144
2022,0.431931004294999,0.440070859307681,136
