Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,BEL,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,2.12E+11,2.14E+11,2.16E+11,2.17E+11,2.19E+11,2.23E+11,2.27E+11,2.31E+11,2.34E+11,2.36E+11,2.43E+11,2.45E+11,2.49E+11,2.53E+11,2.54E+11,2.58E+11,2.62E+11,2.67E+11,2.72E+11,2.77E+11,2.54E+11,2.70E+11,2.79E+11
Belize,BLZ,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,1188810695,1274351950,1372979105,1429425165,1426758206,1410080533,1379538984,1412275814,1435583443,1383921106,1424342059,1458992669,1526539266,1615447688,1672342982,1731281977,1747230686,1738409731,1777106341,1853539171,1619943058,1893174044,2045100285
Benin,BEN,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,13680868517,14281021505,14897889257,15301452958,15919974363,16251050169,16960167546,17598076159,18361439288,18881553215,19268318437,19990023975,20372659882,21197379065,21978472309,23132580735,23580012167,24405312593,25259498534,26143580982,26988018648,28283443543,29683816643
Bermuda,BMU,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2192865675,2211407430,2363096209,2229507666,2144148978,2108807439,1908541012,1974683450,2039183820
Bhutan,BTN,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,1068755342,994838045.5,1193938546,1394874749,1517153638,1856391634,1188868375,2077733607,1900346023,2107218686,2231017673,2365117300,2304771400,3729823308,3417013593,3779295575,3692693192,3918663840,4228433553,4147483225,4277647207,4174585193,..
Bolivia,BOL,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,34746815609,35187835708,35907308358,36583772854,37648359645,38901811369,40485589637,42173708895,44486056506,46120094646,47954570560,50449841018,52773332530,55901321132,58931241244,61995378964,64101643736,67134149096,70021795145,72595712795,66892810527,70465893118,72836204319
Bosnia and Herzegovina,BIH,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,20513375469,21470188030,22645048342,23663426669,24440824896,25624021304,26572804042,27993080240,29407069240,28151094475,28176925053,28132232124,27948562306,27962788860,28499957380,28987736652,29625687588,30046960160,30699869723,31408766429,30317363993,31538514429,32175597337
Botswana,BWA,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,5541417915,5294139011,5556366583,5630375748,5803555823,6428916642,7537780941,8204657523,9142247884,9604408406,10312650149,10845083559,11761798431,12717923649,12981576415,13444241292,13789880067,13988095110,14738564285,15201798802,15556784304,15915339983,16670610280
Brazil,BRA,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,1.15E+12,1.16E+12,1.17E+12,1.16E+12,1.21E+12,1.26E+12,1.33E+12,1.42E+12,1.51E+12,1.58E+12,1.67E+12,1.76E+12,1.82E+12,1.88E+12,1.92E+12,1.86E+12,1.79E+12,1.82E+12,1.87E+12,1.92E+12,1.83E+12,1.89E+12,1.97E+12
British Virgin Islands,VGB,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,2479448925,2583916715,2602223515,3013631301,3383163823,3364039881,3489516319,3559393588,3621935580,3802612541,3870761494,4080204675,4433651532,4701116170,4526684962,4763356784,4700607726,4922634473,5029827197,5328402218,5611674370,6843062856,7413156112
Bulgaria,BGR,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,42485436764,45746367330,48350381075,51490636105,56368080616,60491303032,65653014912,73198068607,75753217259,72523022129,74238965916,75715541564,78540227238,75505775757,76540865909,78698295192,80402907943,82455666779,85520145505,90617128841,90107090576,97739109974,1.01E+11
Burkina Faso,BFA,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,12811412034,12975182104,13672169854,14376319191,15323323599,16160686049,16850635243,17129399677,18370576629,18560895910,19568727248,20675486008,22633677330,24067714669,24386762689,25287807658,26363354635,27290429420,27944389103,28731381823,29423032935,30380041808,31576188912
Burundi,BDI,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,3701863021,3730588620,4037619700,3906085272,4062328682,4577197565,5054505872,4980511446,5153168848,5169320943,5156176390,5561314185,5781193892,6390003713,6630936297,6494497083,6384614574,6394691424,6618505624,6823679298,6846889361,7054952327,7225033118
Cabo Verde,CPV,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,1928758747,1960532088,2076594875,2050906470,2096214277,2166260725,2204820643,2233773484,2301559443,2488240922,2824640698,2946055690,3065564000,2643160622,2680275458,3374907311
Cambodia,KHM,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,14294933896,14619241074,15481980816,16734528540,18823943697,21143890172,22571688609,23962059482,27015737622,26969291145,29333825627,32389233240,33891692522,35844413900,37453817227,39673088243,42349004028,44282662259,47203895053,50062839653,47904767850,46953681168,48629378653
Cameroon,CMR,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,29811806309,31344137588,32579707182,34815506574,36853040455,38852745860,39863465782,40707592304,42874157552,44839132730,45562264769,47077012009,49509160294,52352989519,55332803606,58896594910,60310264019,63146078323,66380868128,69070986680,69247505631,72475186022,74592564638
